"time" "obs"
"72" 1970.04422184170 2.08
"73" 1970.04571347032 2.08
"74" 1970.0464783105 1.81
"75" 1970.04667808219 1.53
"76" 1970.04735730594 1.48
"77" 1970.04746765601 1.41
"78" 1970.05040144597 1.48
"79" 1970.05046423135 1.53
"80" 1970.05083523592 1.67
"81" 1970.05101027397 2.08
"82" 1970.05104642314 2.35
"83" 1970.05128424658 4.63
"84" 1970.05141552511 5
"85" 1970.05159627093 4.45
"86" 1970.05194063927 3.72
"87" 1970.05265601218 2.86
"88" 1970.05385464231 2.52
"89" 1970.05415715373 2.21
"90" 1970.05543949772 2.08
"91" 1970.05616628615 1.67
"92" 1970.05700913242 1.67
"93" 1970.05883942161 1.41
"94" 1970.06140791476 1.19
"95" 1970.06210616438 1.19
"96" 1970.06237633181 1.48
"97" 1970.06252473364 1.81
"98" 1970.06270928463 2.52
"99" 1970.06293569254 2.86
"100" 1970.06310502283 3.36
"101" 1970.06333333333 3.36
"102" 1970.06378614916 3.02
"103" 1970.06450913242 3.36
"104" 1970.06501902588 2.86
"105" 1970.06673896499 2.21
"106" 1970.06847222222 2.21
"107" 1970.07302701674 1.67
"108" 1970.07328957382 1.41
"109" 1970.08109208524 1
"110" 1970.08406773212 1
"111" 1970.08434741248 0.91
"112" 1970.08675608828 0.91
"113" 1970.08713280061 0.823
"114" 1970.08959284627 0.823
"115" 1970.08988203957 0.742
"116" 1970.09219939117 0.742
"117" 1970.09254185693 0.661
"118" 1970.09746194825 0.661
"119" 1970.09798896499 0.855
"120" 1970.09820966514 0.91
"121" 1970.09947488584 0.91
"122" 1970.09999619482 1.41
"123" 1970.10102739726 1.09
"124" 1970.10377092846 0.823
"125" 1970.10678462709 0.661
"126" 1970.11239916286 0.742
"127" 1970.11554794521 0.855
"128" 1970.11763127854 0.91
"129" 1970.11789193303 1.48
"130" 1970.11805175038 1.94
"131" 1970.11824010655 1.94
"132" 1970.11855593607 1.67
"133" 1970.11919140030 1.41
"134" 1970.11975837139 1.41
"135" 1970.11990106545 1.3
"136" 1970.12244863014 1.3
"137" 1970.12259703196 1.19
"138" 1970.12525684932 1.14
"139" 1970.12534436834 1.09
"140" 1970.1262804414 1.19
"141" 1970.12653158295 1.48
"142" 1970.12663812785 1.81
"143" 1970.12704528158 1.81
"144" 1970.12801179604 1.53
"145" 1970.13069063927 1.48
"146" 1970.1336434551 1.3
"147" 1970.14058980213 1.14
"148" 1970.15198249619 0.91
"149" 1970.15216704718 0.823
"150" 1970.16081621005 0.823
"151" 1970.16100266362 0.742
"152" 1970.16691780822 0.661
"153" 1970.16757039574 0.855
"154" 1970.16832572298 1
"155" 1970.16892503805 1
"156" 1970.16944254186 1.19
"157" 1970.16986491629 1.81
"158" 1970.17046232877 1.81
"159" 1970.17091133942 1.94
"160" 1970.17131659056 1.67
"161" 1970.16576864536 1.41
"162" 1970.16806506849 1.48
"163" 1970.16882990868 3.54
"164" 1970.16913622527 4.81
"165" 1970.16937214612 4.81
"166" 1970.17003995434 4.09
"167" 1970.17148211568 3.91
"168" 1970.17178843227 5
"169" 1970.17229261796 6.09
"170" 1970.17312214612 5
"171" 1970.17539954338 4.45
"172" 1970.17584855403 5.18
"173" 1970.17648211568 4.45
"174" 1970.18070776256 3.02
"175" 1970.18790905632 2.08
"176" 1970.18849315069 2.08
"177" 1970.18885464231 3.02
"178" 1970.18939307458 2.52
"179" 1970.19173325723 2.08
"180" 1970.19223173516 2.69
"181" 1970.19249238965 6.45
"182" 1970.19264079148 8.94
"183" 1970.19298515982 6.45
"184" 1970.19318493151 5.72
"185" 1970.19375190259 4.81
"186" 1970.19535578387 4.09
"187" 1970.19669140030 4.09
"188" 1970.19947869102 3.02
"189" 1970.20217085236 2.69
"190" 1970.20363013699 2.35
"191" 1970.20654680365 1.81
"192" 1970.20685692542 1.94
"193" 1970.21051940639 1.67
"194" 1970.21111872146 2.35
"195" 1970.21175608828 2.35
"196" 1970.21237633181 2.08
"197" 1970.21515601218 1.94
"198" 1970.21525875190 2.35
"199" 1970.21567351598 4.45
"200" 1970.21665715373 5.72
"201" 1970.21718226788 5.72
"202" 1970.21758751903 5.36
"203" 1970.21789764079 5.36
"204" 1970.21821537291 6.45
"205" 1970.21836948250 7.28
"206" 1970.21882420091 7.49
"207" 1970.22005136986 6.66
"208" 1970.22038622527 7.28
"209" 1970.22138508371 8.11
"210" 1970.22153538813 7.69
"211" 1970.22280631659 6.86
"212" 1970.22309170472 7.07
"213" 1970.22359589041 7.07
"214" 1970.22439307458 6.27
"215" 1970.22511415525 5.9
"216" 1970.22598554033 6.09
"217" 1970.22711757991 5.72
"218" 1970.22751712329 6.66
"219" 1970.22812975647 10.4
"220" 1970.22910578387 8.11
"221" 1970.22971461187 7.9
"222" 1970.23013318113 7.07
"223" 1970.23048706241 7.07
"224" 1970.23101788432 6.27
"225" 1970.23202054795 6.09
"226" 1970.23235730594 5.72
"227" 1970.23645357686 3.91
"228" 1970.25051940639 2.52
"229" 1970.25374429224 2.21
"230" 1970.25789573820 1.81
"231" 1970.25808409437 1.67
"232" 1970.26062595129 1.67
"233" 1970.26083713851 1.53
"234" 1970.26381659056 1.48
"235" 1970.26613584475 1.3
"236" 1970.26632039574 1.19
"237" 1970.27441780822 1.14
"238" 1970.27449771690 1.09
"239" 1970.27553652968 1.14
"240" 1970.27621765601 1.53
"241" 1970.27722792998 1.48
"242" 1970.27733066971 1.41
"243" 1970.2811282344 1.3
"244" 1970.28167808219 1.67
"245" 1970.28371385084 1.53
"246" 1970.28436073059 2.08
"247" 1970.2864326484 1.94
"248" 1970.28656392694 1.81
"249" 1970.28711377473 1.94
"250" 1970.29027777778 1.94
"251" 1970.29216324201 1.67
"252" 1970.29282343988 1.81
"253" 1970.29672564688 1.67
"254" 1970.29700722983 2.35
"255" 1970.29740487062 3.54
"256" 1970.29787290715 3.91
"257" 1970.29820395738 4.81
"258" 1970.2985064688 4.81
"259" 1970.29937214612 4.27
"260" 1970.30042427702 4.63
"261" 1970.30195585997 4.27
"262" 1970.30761796043 3.19
"263" 1970.31143455099 3.19
"264" 1970.31349124810 3.02
"265" 1970.31385844749 4.63
"266" 1970.31402397260 4.45
"267" 1970.31655060883 3.91
"268" 1970.32061073059 3.72
"269" 1970.32083713851 4.45
"270" 1970.32112252664 5
"271" 1970.32134893455 5
"272" 1970.32196347032 4.45
"273" 1970.32398592085 4.09
"274" 1970.32968607306 3.54
"275" 1970.32989726027 2.86
"276" 1970.33011225266 2.86
"277" 1970.33040144597 2.69
"278" 1970.33351978691 2.52
"279" 1970.33733637747 2.52
"280" 1970.33750380518 2.35
"281" 1970.3401065449 2.21
"282" 1970.34125570776 2.35
"283" 1970.34178082192 2.69
"284" 1970.34351407915 2.52
"285" 1970.34531392694 2.52
"286" 1970.34675038052 2.35
"287" 1970.35341324201 2.35
"288" 1970.36030631659 1.94
"289" 1970.36399162861 1.94
"290" 1970.36449771689 2.08
"291" 1970.36458143075 2.35
"292" 1970.36524543379 5.18
"293" 1970.36565639269 8.52
"294" 1970.36660197869 6.86
"295" 1970.36808028919 5.54
"296" 1970.36988584475 4.63
"297" 1970.37388127854 3.02
"298" 1970.37897070015 2.35
"299" 1970.3826065449 2.35
"300" 1970.38287861492 3.02
"301" 1970.39045281583 2.35
"302" 1970.39345129376 2.08
"303" 1970.39739916286 1.94
"304" 1970.40088660578 1.48
"305" 1970.40385083714 1.19
"306" 1970.40623287671 1.14
"307" 1970.42605593607 0.823
"308" 1970.44150875190 0.661
"309" 1970.44173896499 1.09
"310" 1970.44194063927 1.19
"311" 1970.44299277017 1.14
"312" 1970.44373858447 1.14
"313" 1970.44392503805 1.3
"314" 1970.44445585997 1.3
"315" 1970.44564307458 1.19
"316" 1970.44925608828 0.91
"317" 1970.45671613394 0.742
"318" 1970.45695015221 1.14
"319" 1970.45728881279 1.94
"320" 1970.45776636225 1.94
"321" 1970.45970319635 1.53
"322" 1970.46490296804 1.3
"323" 1970.46947869102 1.14
"324" 1970.48358447489 0.742
"325" 1970.48679984779 0.5
"326" 1970.50630517504 0.346
"327" 1970.50647260274 0.295
"328" 1970.50737633181 0.346
"329" 1970.50912480974 0.346
"330" 1970.50926179604 0.295
"331" 1970.51118721461 0.295
"332" 1970.51135844749 0.346
"333" 1970.51849505327 0.295
"334" 1970.51864916286 0.346
"335" 1970.52000190259 0.346
"336" 1970.52017123288 0.5
"337" 1970.52032724505 0.398
"338" 1970.52413242009 0.398
"339" 1970.52427891933 0.295
"340" 1970.52759893455 0.295
"341" 1970.52844368341 0.251
"342" 1970.53000190259 0.251
"343" 1970.53020738204 0.346
"344" 1970.53095890411 0.295
"345" 1970.53786529680 0.346
"346" 1970.53805175038 0.295
"347" 1970.54177511416 0.295
"348" 1970.54199391172 0.5
"349" 1970.54221270928 0.823
"350" 1970.54232496195 0.823
"351" 1970.54277207002 0.581
"352" 1970.54307077626 0.5
"353" 1970.54337138508 0.449
"354" 1970.54378995434 0.398
"355" 1970.5439174277 0.5
"356" 1970.54435882801 1.09
"357" 1970.54492579909 0.661
"358" 1970.54638888889 0.5
"359" 1970.54941019787 0.5
"360" 1970.54962899543 1
"361" 1970.54979071537 0.742
"362" 1970.54990296804 0.823
"363" 1970.55031392694 0.823
"364" 1970.55176560122 0.581
"365" 1970.55193112633 0.5
"366" 1970.55748668189 0.398
"367" 1970.55776636225 0.346
"368" 1970.55854071537 0.346
"369" 1970.55868721461 0.295
"370" 1970.56114916286 0.346
"371" 1970.56613964992 0.295
"372" 1970.5662956621 0.251
"373" 1970.56939878234 0.211
"374" 1970.56954908676 0.171
"375" 1970.56974885845 0.171
"376" 1970.56988964992 0.251
"377" 1970.57183219178 0.251
"378" 1970.57296042618 0.295
"379" 1970.57333523592 0.5
"380" 1970.5735216895 0.661
"381" 1970.57371194825 0.661
"382" 1970.57418759513 0.5
"383" 1970.57488203957 0.5
"384" 1970.57719368341 0.398
"385" 1970.57881278539 0.398
"386" 1970.57975456621 0.449
"387" 1970.58019977169 0.398
"388" 1970.58485730594 0.346
"389" 1970.58507800609 0.398
"390" 1970.58774162862 0.398
"391" 1970.58893264840 0.346
"392" 1970.59319444444 0.346
"393" 1970.59370814307 0.251
"394" 1970.59785578387 0.211
"395" 1970.59833333333 0.251
"396" 1970.59864535769 0.211
"397" 1970.60364916286 0.171
"398" 1970.60513888889 0.295
"399" 1970.60819824962 0.211
"400" 1970.61227359209 0.171
"401" 1970.61247526636 0.139
"402" 1970.61791095890 0.139
"403" 1970.61922564688 0.13
"404" 1970.62228881279 0.114
"405" 1970.62245814307 0.13
"406" 1970.62276826484 0.171
"407" 1970.62318493151 0.251
"408" 1970.62357496195 0.251
"409" 1970.62485920852 0.211
"410" 1970.62920091324 0.171
"411" 1970.62940258752 0.139
"412" 1970.63652207002 0.139
"413" 1970.63686453577 0.171
"414" 1970.63715182648 0.139
"415" 1970.63731164384 0.211
"416" 1970.63958523592 0.251
"417" 1970.64231164384 0.211
"418" 1970.64282153729 0.171
"419" 1970.64333143075 0.139
"420" 1970.65063165906 0.139
"421" 1970.65068302892 0.13
"422" 1970.65080098935 0.114
"423" 1970.65534627093 0.114
"424" 1970.65545281583 0.13
"425" 1970.65564878234 0.171
"426" 1970.65603691020 0.139
"427" 1970.65634703196 0.139
"428" 1970.65752283105 0.13
"429" 1970.66026445967 0.114
"430" 1970.66029680365 0.13
"431" 1970.66040525114 0.211
"432" 1970.66092465753 0.211
"433" 1970.66167237443 0.251
"434" 1970.66200913242 0.251
"435" 1970.6625 0.211
"436" 1970.66444444444 0.171
"437" 1970.66638888889 0.139
"438" 1970.66654490107 0.211
"439" 1970.66697488584 0.171
"440" 1970.67460426180 0.139
"441" 1970.67477929985 0.211
"442" 1970.67501902588 0.171
"443" 1970.67534056317 0.13
"444" 1970.67553652968 0.114
"445" 1970.67645738204 0.114
"446" 1970.67700532725 0.098
"447" 1970.68651065449 0.098
"448" 1970.68652968037 0.13
"449" 1970.68654299848 0.171
"450" 1970.68657534247 0.295
"451" 1970.68661910198 0.5
"452" 1970.68662861492 0.581
"453" 1970.68665905632 0.5
"454" 1970.68680745814 0.251
"455" 1970.6873173516 0.251
"456" 1970.68767503805 0.211
"457" 1970.6887956621 0.211
"458" 1970.68933028919 0.171
"459" 1970.68986491629 0.139
"460" 1970.6898934551 0.13
"461" 1970.68996194825 0.114
"462" 1970.69005898021 0.098
"463" 1970.69380327245 0.13
"464" 1970.69474505327 0.139
"465" 1970.69771879756 0.139
"466" 1970.69777968037 0.13
"467" 1970.69792237443 0.114
"468" 1970.69930555556 0.114
"469" 1970.69957191781 0.139
"470" 1970.70316019787 0.139
"471" 1970.70325342466 0.13
"472" 1970.70346841705 0.114
"473" 1970.70408485540 0.084
"474" 1970.70424657534 0.114
"475" 1970.70833333333 0.098
"476" 1970.70854071537 0.114
"477" 1970.71235540335 0.114
"478" 1970.71397070015 0.139
"479" 1970.71416286149 0.13
"480" 1970.71460806697 0.114
"481" 1970.71968036530 0.114
"482" 1970.71993531202 0.139
"483" 1970.71999238965 0.171
"484" 1970.72021879756 0.346
"485" 1970.72024353120 0.5
"486" 1970.72030821918 1.14
"487" 1970.72033485540 1.48
"488" 1970.72039003044 2.35
"489" 1970.72045091324 3.54
"490" 1970.72071917808 2.35
"491" 1970.72079718417 2.08
"492" 1970.72116818874 1.48
"493" 1970.72164383562 0.91
"494" 1970.72174086758 0.855
"495" 1970.72229261796 0.581
"496" 1970.72265030441 0.5
"497" 1970.72300799087 0.449
"498" 1970.72517123288 0.295
"499" 1970.72532153729 0.251
"500" 1970.7275608828 0.251
"501" 1970.72800418569 0.211
"502" 1970.72803652968 0.295
"503" 1970.72809931507 0.5
"504" 1970.72811453577 0.581
"505" 1970.72816971081 0.5
"506" 1970.72839041096 0.295
"507" 1970.73093417047 0.251
"508" 1970.73313926941 0.251
"509" 1970.74087519026 0.211
"510" 1970.74105974125 0.171
"511" 1970.74710616438 0.139
"512" 1970.74714041096 0.171
"513" 1970.74727549467 0.346
"514" 1970.74735159817 0.251
"515" 1970.74739155251 0.211
"516" 1970.74926940639 0.171
"517" 1970.74949961948 0.211
"518" 1970.74952815830 0.295
"519" 1970.74958713851 0.5
"520" 1970.74962899543 0.742
"521" 1970.74968036530 0.5
"522" 1970.74976788432 0.251
"523" 1970.74978500761 0.211
"524" 1970.75195776256 0.211
"525" 1970.75240106545 0.171
"526" 1970.75238584475 0.171
"527" 1970.75245624049 0.13
"528" 1970.75249238965 0.114
"529" 1970.75254756469 0.098
"530" 1970.75290525114 0.114
"531" 1970.75296423135 0.13
"532" 1970.75307077626 0.171
"533" 1970.7650761035 0.139
"534" 1970.76508942161 0.13
"535" 1970.7651217656 0.114
"536" 1970.76521308980 0.084
"537" 1970.7686738965 0.114
"538" 1970.76937214612 0.098
"539" 1970.77143645358 0.114
"540" 1970.77144977169 0.13
"541" 1970.77147450533 0.171
"542" 1970.77154680365 0.346
"543" 1970.77178082192 0.251
"544" 1970.77189687976 0.211
"545" 1970.7726978691 0.171
"546" 1970.77279870624 0.13
"547" 1970.77285388128 0.114
"548" 1970.7737652207 0.114
"549" 1970.77392313546 0.098
"550" 1970.77651445967 0.114
"551" 1970.77951674277 0.114
"552" 1970.78317351598 0.139
"553" 1970.78318493151 0.13
"554" 1970.78320966514 0.114
"555" 1970.78324581431 0.098
"556" 1970.78331621005 0.071
"557" 1970.78393074581 0.098
"558" 1970.78535197869 0.114
"559" 1970.79103691020 0.114
"560" 1970.79104642314 0.13
"561" 1970.79106544901 0.171
"562" 1970.79110540335 0.295
"563" 1970.7911586758 0.5
"564" 1970.79126141553 1.14
"565" 1970.79134893455 1.94
"566" 1970.7914783105 2.21
"567" 1970.79179794521 1.48
"568" 1970.79200913242 1.09
"569" 1970.79240106545 0.661
"570" 1970.79300799087 0.5
"571" 1970.79331050228 0.449
"572" 1970.79439687976 0.295
"573" 1970.79591324201 0.295
"574" 1970.79677511416 0.211
"575" 1970.79927891933 0.211
"576" 1970.79945585997 0.171
"577" 1970.80119863014 0.171
"578" 1970.80133371385 0.211
"579" 1970.80216324201 0.171
"580" 1970.80229261796 0.139
"581" 1970.80858828006 0.139
"582" 1970.80874238965 0.211
"583" 1970.80936263318 0.171
"584" 1970.81279680365 0.171
"585" 1970.81308599696 0.13
"586" 1970.81324200913 0.114
"587" 1970.81464611872 0.098
"588" 1970.82076864536 0.098
"589" 1970.82081240487 0.13
"590" 1970.82084665145 0.171
"591" 1970.82089802131 0.251
"592" 1970.82110920852 0.171
"593" 1970.82121575342 0.139
"594" 1970.82456621005 0.139
"595" 1970.82459094368 0.13
"596" 1970.82464611872 0.114
"597" 1970.82472792998 0.098
"598" 1970.82584284627 0.098
"599" 1970.82613013699 0.114
"600" 1970.83274733638 0.098
"601" 1970.83692351598 0.13
"602" 1970.83717656012 0.139
"603" 1970.83937975647 0.139
"604" 1970.83944634703 0.13
"605" 1970.83960235921 0.114
"606" 1970.84073059361 0.114
"607" 1970.84196917808 0.139
"608" 1970.84211757991 0.171
"609" 1970.84436263318 0.211
"610" 1970.84563926941 0.171
"611" 1970.84839421613 0.171
"612" 1970.85351217656 0.139
"613" 1970.85359969559 0.171
"614" 1970.85386796043 0.295
"615" 1970.85422564688 0.5
"616" 1970.85431316591 0.581
"617" 1970.85457382040 0.581
"618" 1970.85480403349 0.5
"619" 1970.85526445967 0.398
"620" 1970.85597792998 0.346
"621" 1970.85702435312 0.346
"622" 1970.85767313546 0.5
"623" 1970.85810502283 0.661
"624" 1970.8585369102 0.661
"625" 1970.85948630137 0.5
"626" 1970.85996004566 0.449
"627" 1970.86060692542 0.449
"628" 1970.86074200913 0.5
"629" 1970.86139269406 0.855
"630" 1970.86155441400 0.91
"631" 1970.8623173516 0.661
"632" 1970.86327245053 0.5
"633" 1970.86754756469 0.346
"634" 1970.87039954338 0.295
"635" 1970.87062404871 0.211
"636" 1970.87833143075 0.211
"637" 1970.87911910198 0.171
"638" 1970.88805745814 0.171
"639" 1970.88849124810 0.251
"640" 1970.88866438356 0.398
"641" 1970.88943493151 0.449
"642" 1970.88985350076 0.398
"643" 1970.89355974125 0.295
"644" 1970.89631659056 0.295
"645" 1970.90307077626 0.211
"646" 1970.91618531202 0.211
"647" 1970.91638888889 0.171
"648" 1970.92199961948 0.171
"649" 1970.92245624049 0.139
"650" 1970.93142123288 0.139
"651" 1970.93179414003 0.171
"652" 1970.9410673516 0.139
"653" 1970.94140791476 0.171
"654" 1970.94426750381 0.171
"655" 1970.94449200913 0.139
"656" 1970.95091133942 0.171
"657" 1970.9511282344 0.251
"658" 1970.95154680365 0.251
"659" 1970.95185312024 0.346
"660" 1970.95224885845 0.346
"661" 1970.95247336377 0.398
"662" 1970.95328957382 0.346
"663" 1970.95401255708 0.449
"664" 1970.95461567732 0.449
"665" 1970.95482115677 0.398
"666" 1970.95732305936 0.398
"667" 1970.9575913242 0.346
"668" 1970.96057648402 0.295
"669" 1970.96305365297 0.295
"670" 1970.96381278539 0.346
"671" 1970.96685882801 0.398
"672" 1970.9674543379 0.5
"673" 1970.96864535769 0.823
"674" 1970.97255517504 0.5
"675" 1970.97571727549 0.5
"676" 1970.97691400304 1.19
"677" 1970.97784627093 0.91
"678" 1970.97922564688 0.742
"679" 1970.97957762557 0.742
"680" 1970.98604452055 0.5
"681" 1970.99035578387 0.398
"682" 1970.99668188737 0.398
"683" 1970.99680745814 0.5
"684" 1970.99731164384 1.19
"685" 1970.99857686454 0.91
"686" 1970.99883181126 0.91
"687" 1970.99978310502 0.742
"688" 1971.00454718417 0.661
"689" 1971.00465182648 0.91
"690" 1971.0049847793 1
"691" 1971.00594178082 1
"692" 1971.00624048706 1.09
"693" 1971.00914193303 0.91
"694" 1971.00953386606 1.19
"695" 1971.00967275495 1.48
"696" 1971.01001712329 2.35
"697" 1971.01039383562 3.54
"698" 1971.01119863014 4.09
"699" 1971.01246575342 3.19
"700" 1971.01270928463 2.86
"701" 1971.01411339422 2.35
"702" 1971.01519596651 2.35
"703" 1971.01585616438 2.08
"704" 1971.01959665145 1.53
"705" 1971.02059550989 1.67
"706" 1971.02178082192 1.48
"707" 1971.02482876712 1.09
"708" 1971.03372146119 0.742
"709" 1971.03728881279 0.742
"710" 1971.03772260274 1.14
"711" 1971.03786719939 1.3
"712" 1971.03814117199 1.3
"713" 1971.03863394216 1.09
"714" 1971.0398021309 1
"715" 1971.04011986301 0.91
"716" 1971.05054223744 0.661
"717" 1971.05865296804 0.581
"718" 1971.05892313546 0.5
"719" 1971.05920091324 0.581
"720" 1971.06932267884 0.5
"721" 1971.07142313546 0.449
"722" 1971.07157153729 0.5
"723" 1971.07246004566 1
"724" 1971.07259703196 0.661
"725" 1971.07307648402 0.661
"726" 1971.07346461187 0.5
"727" 1971.07846461187 0.449
"728" 1971.08031963470 0.449
"729" 1971.08076103501 0.5
"730" 1971.08132420091 0.449
"731" 1971.08767503805 0.449
"732" 1971.08801560122 0.398
"733" 1971.08823249619 0.5
"734" 1971.08866438356 0.823
"735" 1971.08940639269 1
"736" 1971.09041286149 1
"737" 1971.09056887367 1.3
"738" 1971.09098173516 1.53
"739" 1971.09175799087 1.67
"740" 1971.09210806697 2.21
"741" 1971.09287671233 2.21
"742" 1971.09588660578 1.48
"743" 1971.09756849315 1.19
"744" 1971.09814687976 1.14
"745" 1971.10172374429 0.855
"746" 1971.10680365297 0.5
"747" 1971.10795852359 0.449
"748" 1971.11665715373 0.449
"749" 1971.11744863014 0.5
"750" 1971.11801560122 0.449
"751" 1971.11947869102 0.449
"752" 1971.12042427702 0.5
"753" 1971.1223173516 0.661
"754" 1971.12265601218 0.742
"755" 1971.12777397260 0.742
"756" 1971.12832191781 0.823
"757" 1971.13053462709 0.855
"758" 1971.13092275495 1
"759" 1971.13164383562 1
"760" 1971.13554604262 0.661
"761" 1971.13746385084 0.661
"762" 1971.13776826484 1.14
"763" 1971.13812595129 1.94
"764" 1971.13839041096 1.94
"765" 1971.13970509893 1.53
"766" 1971.14004756469 1.67
"767" 1971.14186834094 1.67
"768" 1971.14349505327 1.53
"769" 1971.14408866058 3.02
"770" 1971.14429794521 3.02
"771" 1971.14465753425 2.52
"772" 1971.14524162861 2.35
"773" 1971.14757800609 1.81
"774" 1971.14908485540 1.67
"775" 1971.14946727549 2.08
"776" 1971.15011415525 1.81
"777" 1971.1550456621 1.41
"778" 1971.15728691020 1.3
"779" 1971.15776065449 1.41
"780" 1971.1588261035 1.3
"781" 1971.15977549467 1.48
"782" 1971.16013888889 2.08
"783" 1971.16036339422 2.08
"784" 1971.16169140030 1.67
"785" 1971.16284246575 1.53
"786" 1971.16414764079 1.67
"787" 1971.16645167428 1.48
"788" 1971.17073249619 1.19
"789" 1971.17116248097 1.41
"790" 1971.17171423135 1.48
"791" 1971.17180365297 1.53
"792" 1971.16570776256 1.53
"793" 1971.1661738965 1.81
"794" 1971.16942351598 1.48
"795" 1971.17117960426 1.3
"796" 1971.17578196347 1.14
"797" 1971.17914954338 0.91
"798" 1971.18516933029 0.742
"799" 1971.19645167428 0.581
"800" 1971.19669140030 0.5
"801" 1971.21155821918 0.5
"802" 1971.21196537291 0.91
"803" 1971.21218036530 0.91
"804" 1971.21289954338 0.823
"805" 1971.21315258752 1
"806" 1971.21335806697 1
"807" 1971.2139174277 1.41
"808" 1971.21433599696 1.41
"809" 1971.21531202435 1.19
"810" 1971.21601788432 1.3
"811" 1971.21703957382 1.09
"812" 1971.21824200913 1.09
"813" 1971.22333523592 0.91
"814" 1971.23181506849 0.742
"815" 1971.23202435312 0.661
"816" 1971.23835235921 0.661
"817" 1971.25048896499 0.581
"818" 1971.25085426180 0.5
"819" 1971.26007039574 0.5
"820" 1971.26078196347 0.449
"821" 1971.26977929985 0.449
"822" 1971.27033675799 0.5
"823" 1971.27058599696 0.398
"824" 1971.27286149163 0.398
"825" 1971.27309550989 0.346
"826" 1971.28607305936 0.346
"827" 1971.28668378995 0.5
"828" 1971.28698059361 0.449
"829" 1971.28722792998 0.5
"830" 1971.28896118721 1.09
"831" 1971.28924467275 1.09
"832" 1971.29127283105 0.823
"833" 1971.29379375951 0.742
"834" 1971.29671042618 0.742
"835" 1971.29697488584 0.661
"836" 1971.29734969559 0.661
"837" 1971.29779490107 1.14
"838" 1971.29791666667 1.3
"839" 1971.30301750381 1
"840" 1971.30329528158 1.19
"841" 1971.30378614916 1.67
"842" 1971.30757800609 1.67
"843" 1971.30799657534 2.52
"844" 1971.30822869102 3.72
"845" 1971.30884512938 5.18
"846" 1971.30900684932 5.18
"847" 1971.30915334855 5.72
"848" 1971.31085426180 4.81
"849" 1971.31151445967 3.91
"850" 1971.31195205479 4.09
"851" 1971.31622907154 2.35
"852" 1971.31712519026 2.21
"853" 1971.31781012177 2.35
"854" 1971.31868340944 2.08
"855" 1971.31903729072 2.35
"856" 1971.32030060883 2.35
"857" 1971.32173896499 2.08
"858" 1971.32207382040 2.35
"859" 1971.32408675799 2.08
"860" 1971.32711187215 1.81
"861" 1971.3273630137 1.67
"862" 1971.32768645358 1.67
"863" 1971.33099315068 1.48
"864" 1971.3335369102 1.09
"865" 1971.33544901065 1.09
"866" 1971.33657724505 1
"867" 1971.34464041096 0.823
"868" 1971.34511986301 1.19
"869" 1971.34577435312 0.91
"870" 1971.34825722983 0.823
"871" 1971.36279870624 0.5
"872" 1971.39294901065 0.346
"873" 1971.39364916286 0.5
"874" 1971.3939174277 0.5
"875" 1971.39433028919 0.449
"876" 1971.39478500761 0.449
"877" 1971.39487442922 0.5
